contrast,left_model,left_prompt_family,mean_family_diversity,mean_homogeneity,mean_major_distribution_distance,mean_major_diversity,mean_prompt_embedding_diversity,mean_trace_embedding_diversity,mean_trace_token_diversity,mean_vote_acc,n,prompt_mode,right_model,right_prompt_family,unit
same_model_same_prompt_family,gemini-2.5-flash-lite,same_definition,0.4598038770481393,0.7652974949260697,0.4037509944130627,0.4037509944130627,0.16824387768795812,0.02932902320196879,0.07618490758791188,0.84,100,family,gemini-2.5-flash-lite,same_definition,within_team
same_model_same_prompt_family,gemini-2.5-flash-lite,same_elimination,0.40574918884139016,0.82601681312819,0.3051081152836628,0.306424627215776,0.15063549663638942,0.02847736947630932,0.07674704972527888,0.8,100,family,gemini-2.5-flash-lite,same_elimination,within_team
same_model_same_prompt_family,gpt-4o-mini,mixed_strategy,0.48051830103796567,0.6994929362065918,0.40957810895457836,0.40957810895457836,0.174776226864637,0.045281405653004106,0.1402614513117434,0.86,100,family,gpt-4o-mini,mixed_strategy,within_team
same_model_same_prompt_family,gpt-4o-mini,same_definition,0.47218855953089894,0.7896072479403201,0.3204705391504547,0.3204705391504547,0.16824387768795812,0.04534919619140736,0.13387911963363167,0.87,100,family,gpt-4o-mini,same_definition,within_team
same_model_same_prompt_family,gpt-4o-mini,same_elimination,0.42098303480986515,0.7617851963519202,0.3485819772032249,0.3485819772032249,0.15063549663638942,0.03276177506341672,0.11017965642481263,0.84,100,family,gpt-4o-mini,same_elimination,within_team
same_model_same_prompt_family,qwen2.5-7b-instruct,mixed_strategy,0.5278280824729255,0.6076067868374634,0.46501548798462233,0.46501548798462233,0.174776226864637,0.1948408123158343,0.4273773836217286,0.75,100,family,qwen2.5-7b-instruct,mixed_strategy,within_team
same_model_same_prompt_family,qwen2.5-7b-instruct,same_definition,0.49531169480619014,0.6990295557406203,0.369900263654886,0.36931076811984825,0.16824387768795812,0.18442867432313642,0.39910994776357256,0.73,100,family,qwen2.5-7b-instruct,same_definition,within_team
same_model_same_prompt_family,qwen2.5-7b-instruct,same_elimination,0.4564587865179841,0.7277151172989256,0.28506167356098516,0.28506167356098516,0.15063549663638942,0.20873592831011756,0.45295681731307075,0.77,100,family,qwen2.5-7b-instruct,same_elimination,within_team
same_model_same_prompt_family,qwen3.5-plus,mixed_strategy,0.5810347239291934,0.5968517167179863,0.5891992111062083,0.5891992111062083,0.1899414741279909,0.05369077615465387,0.13949827142140916,0.95,100,family,qwen3.5-plus,mixed_strategy,within_team
same_model_same_prompt_family,qwen3.5-plus,same_definition,0.4716418044537828,0.7784622304123909,0.3976336311198001,0.3976336311198001,0.16824387768795812,0.04830510445470122,0.13677435590720632,0.95,100,family,qwen3.5-plus,same_definition,within_team
same_model_same_prompt_family,qwen3.5-plus,same_elimination,0.501666113783612,0.7490283438033404,0.37092185578746795,0.37092185578746795,0.15063549663638942,0.041587053713001865,0.13087062094297652,0.96,100,family,qwen3.5-plus,same_elimination,within_team
